,age,sex,years_study,color_race,salary,civil_status,region
201,32,man,15.0,indigenous,74562.119140625,married,north
202,26,woman,15.0,white,32503.3203125,married,north
203,28,man,15.0,black,21696.0,married,north
204,24,woman,11.0,brown,2339.959999084473,married,north
205,45,woman,15.0,yellow,31188.0,not_married,north
207,43,woman,15.0,white,48816.0,not_married,north
208,37,man,8.0,black,11340.0,not_married,north
209,35,woman,13.0,brown,21696.0,married,north
210,39,man,11.0,white,12422.391189513477,married,north
211,60,man,15.0,white,271200.0,married,north
212,38,woman,15.0,white,28882.798828125,married,north
213,40,man,11.0,white,56952.0,married,north
214,38,woman,11.0,white,1260.0,married,north
215,60,man,15.0,white,50880.0,married,north
216,57,woman,10.0,brown,12422.391189513477,married,north
217,32,woman,14.0,white,11700.0,not_married,north
218,37,man,11.0,black,31392.0,not_married,north
219,41,man,10.0,brown,12480.0,married,north
220,37,woman,14.0,white,6240.0,married,north
221,25,woman,5.0,brown,12422.391189513477,not_married,north
222,43,man,15.0,brown,3450.0,not_married,north
223,47,man,5.0,brown,4095.0,married,north
224,46,woman,9.0,white,9984.0,married,north
225,45,man,15.0,white,22488.958984375,married,north
226,42,woman,5.0,white,22488.958984375,married,north
227,44,woman,11.0,white,16272.0,not_married,north
228,24,man,11.0,brown,12422.391189513477,not_married,north
229,43,man,8.0,brown,6801.599609375,married,north
230,47,woman,11.0,brown,8051.400390625,married,north
231,39,man,11.0,white,12422.391189513477,married,north
232,31,woman,5.0,black,208.0,married,north
233,42,man,5.0,brown,11340.0,married,north
234,40,woman,7.0,white,12422.391189513477,married,north
235,58,man,9.0,brown,12422.391189513477,married,north
236,49,woman,5.0,black,12422.391189513477,married,north
237,41,man,15.0,black,30426.240234375,married,north
238,41,woman,15.0,brown,48336.0,married,north
239,43,woman,11.0,black,6930.0,not_married,north
240,28,woman,5.0,white,12422.391189513477,married,north
241,27,man,5.0,brown,15120.0,married,north
242,49,man,5.0,brown,13860.0,not_married,north
243,46,woman,11.0,brown,12422.391189513477,married,north
244,54,man,11.0,brown,2496.0,married,north
245,23,man,6.0,white,10533.599609375,not_married,north
246,60,man,12.0,brown,5670.0,not_married,north
247,25,man,11.0,brown,871.5,not_married,north
248,22,woman,10.0,brown,2425.5,not_married,north
249,26,man,11.0,brown,12422.391189513477,not_married,north
250,44,woman,5.0,white,0.0,not_married,north
251,26,man,5.0,white,3261.2999877929688,not_married,north
252,26,man,15.0,brown,7660.2001953125,married,north
253,26,woman,15.0,brown,104923.0,married,north
254,43,man,15.0,brown,151200.0,married,north
255,23,woman,15.0,white,12422.391189513477,married,north
256,42,man,11.0,white,63600.0,not_married,north
257,31,man,15.0,white,96245.7578125,married,north
258,32,woman,15.0,white,174245.765625,married,north
259,40,woman,15.0,brown,37440.0,not_married,north
260,24,man,15.0,brown,12422.391189513477,not_married,north
261,43,woman,15.0,brown,60153.59765625,married,north
262,48,man,15.0,white,37800.0,married,north
263,22,man,12.0,white,12422.391189513477,not_married,north
264,52,woman,6.0,brown,12422.391189513477,not_married,north
265,23,woman,15.0,brown,4305.599609375,not_married,north
266,46,woman,15.0,brown,11107.19921875,not_married,north
267,52,woman,5.0,brown,13200.0,not_married,north
268,31,woman,10.0,brown,12422.391189513477,not_married,north
269,29,woman,12.0,brown,12422.391189513477,not_married,north
270,21,man,5.0,black,12422.391189513477,not_married,north
271,27,woman,11.0,white,6240.0,not_married,north
272,24,man,10.0,white,2205.0,not_married,north
273,36,woman,8.0,black,12422.391189513477,not_married,north
274,23,woman,5.0,brown,5353.0,not_married,north
275,27,woman,5.0,brown,12422.391189513477,not_married,north
276,22,woman,8.0,brown,1693.199951171875,not_married,north
277,47,man,15.0,brown,16380.0,married,north
278,40,woman,12.0,white,21420.0,married,north
279,28,man,8.0,brown,14176.0,married,north
280,26,woman,5.0,brown,12422.391189513477,married,north
281,33,man,5.0,brown,12422.391189513477,married,north
282,30,woman,5.0,brown,1939.2000732421875,married,north
283,40,man,11.0,white,24240.0,married,north
284,38,woman,5.0,white,757.5,married,north
285,33,man,11.0,brown,27342.0,married,north
286,32,woman,11.0,white,660.0,married,north
287,46,woman,11.0,brown,17640.0,married,north
288,45,man,15.0,black,16572.0,married,north
289,20,woman,12.0,black,12422.391189513477,not_married,north
290,58,woman,5.0,brown,12422.391189513477,not_married,north
291,30,man,8.0,brown,5029.7998046875,not_married,north
292,46,woman,5.0,brown,2462.4000244140625,married,north
293,31,man,5.0,brown,2906.0,married,north
294,45,man,12.0,brown,8904.0,married,north
295,43,woman,8.0,brown,12422.391189513477,married,north
296,27,man,11.0,black,46176.0,married,north
297,27,woman,9.0,black,12422.391189513477,married,north
298,46,man,11.0,brown,12600.0,married,north
299,46,woman,15.0,brown,37440.0,married,north
300,34,man,5.0,brown,12928.0,married,north
301,40,woman,5.0,white,4848.0,married,north
302,39,man,5.0,brown,13860.0,married,north
303,30,woman,5.0,brown,4865.5,married,north
304,42,man,10.0,brown,24960.0,married,north
305,35,woman,5.0,brown,630.0,married,north
306,25,man,8.0,white,12422.391189513477,not_married,north
307,32,man,6.0,brown,2625.0,married,north
308,26,woman,8.0,black,419.1499938964844,married,north
309,32,man,11.0,black,10080.0,not_married,north
310,21,man,8.0,brown,9600.0,not_married,north
311,29,man,11.0,white,10200.0,married,north
312,29,woman,11.0,white,12422.391189513477,married,north
313,40,man,11.0,white,14400.0,not_married,north
314,23,man,15.0,white,7200.0,not_married,north
315,41,man,11.0,white,38400.0,married,north
316,34,woman,10.0,white,12422.391189513477,married,north
317,42,man,15.0,white,103950.0,married,north
318,28,woman,11.0,brown,12422.391189513477,married,north
319,44,man,5.0,white,95040.0,married,north
320,41,woman,11.0,white,3180.0,married,north
321,47,man,15.0,white,46512.0,married,north
322,42,woman,11.0,white,12422.391189513477,married,north
323,50,woman,15.0,white,12422.391189513477,not_married,north
324,41,man,15.0,brown,38784.0,married,north
325,29,woman,8.0,brown,3600.0,married,north
327,30,man,11.0,brown,12422.391189513477,not_married,north
328,33,man,12.0,white,9504.0,married,north
329,30,woman,12.0,brown,12422.391189513477,married,north
330,58,woman,12.0,brown,12422.391189513477,not_married,north
331,25,woman,15.0,black,14688.0,not_married,north
332,22,man,15.0,black,14688.0,not_married,north
333,49,man,15.0,white,23760.0,married,north
334,50,woman,5.0,white,52386.0,married,north
335,44,man,11.0,brown,7200.0,married,north
336,45,woman,11.0,brown,4830.599609375,married,north
337,28,man,10.0,black,7560.0,not_married,north
338,26,woman,11.0,brown,27600.0,married,north
339,26,man,11.0,brown,11500.0,married,north
340,37,woman,15.0,brown,0.0,not_married,north
341,35,man,11.0,brown,117600.0,married,north
342,34,woman,11.0,brown,16888.0,married,north
343,42,man,15.0,black,15912.0,married,north
344,40,woman,15.0,white,15912.0,married,north
345,22,woman,10.0,black,2550.0,not_married,north
346,39,woman,13.0,brown,42595.203125,not_married,north
347,21,woman,11.0,brown,3000.0,not_married,north
348,37,woman,13.0,brown,12422.391189513477,not_married,north
349,43,man,11.0,brown,9000.0,married,north
350,35,woman,11.0,white,750.0,married,north
351,43,man,11.0,white,16560.0,married,north
352,33,woman,11.0,indigenous,8400.0,married,north
353,32,woman,11.0,black,13464.0,married,north
354,40,man,6.0,brown,7760.16015625,married,north
